[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],[US 1120 Balance Sheet_Name],[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
2911,DET.VALOR DE CONSTRUCCIONES,DET.VALOR DE CONSTRUCCIONES,Asset,,,Yes,,291,,,,,,,,,,
2912,DET.VALOR INSTALAC.TECNICAS,DET.VALOR INSTALAC.TECNICAS,Asset,,,Yes,,291,,,,,,,,,,
2913,DETERIORO VALOR DE MAQUINARIA,DETERIORO VALOR DE MAQUINARIA,Asset,,,Yes,,291,,,,,,,,,,
2914,DETERIORO VALOR DE UTILLAJE,DETERIORO VALOR DE UTILLAJE,Asset,,,Yes,,291,,,,,,,,,,
2915,DET.VALOR DE OTRAS INSTALAC.,DET.VALOR DE OTRAS INSTALAC.,Asset,,,Yes,,291,,,,,,,,,,
2916,DETERIORO VALOR DE MOBILIARIO,DETERIORO VALOR DE MOBILIARIO,Asset,,,Yes,,291,,,,,,,,,,
2917,DET.VALOR EQUIP.PROC.INFORM.,DET.VALOR EQUIP.PROC.INFORM.,Asset,,,Yes,,291,,,,,,,,,,
2918,DET.VALOR DE ELEM.TRANSPORTE,DET.VALOR DE ELEM.TRANSPORTE,Asset,,,Yes,,291,,,,,,,,,,
2919,DET.VALOR OTRO INMOV.MATERIAL,DET.VALOR OTRO INMOV.MATERIAL,Asset,,,Yes,,291,,,,,,,,,,
2920,DET.V.TERR.Y B.NAT.,DET.V.TERR.Y B.NAT.,Asset,,,Yes,,292,,,,,,,,,,
2921,DET.V.CONSTRUCCIONES,DET.V.CONSTRUCCIONES,Asset,,,Yes,,292,,,,,,,,,,
2933,DET.VALOR PART.LP (GRUPO),DET.VALOR PART.LP (GRUPO),Asset,,,Yes,,293,,,,,,,,,,
2934,DET.VALOR PART.LP (ASOC),DET.VALOR PART.LP (ASOC),Asset,,,Yes,,293,,,,,,,,,,
2935,DET.VALOR PART.LP (O.P.V),DET.VALOR PART.LP (O.P.V),Asset,,,Yes,,293,,,,,,,,,,
2943,DET.VAL.REPR.DEUD.LP (GRUPO),DET.VAL.REPR.DEUD.LP (GRUPO),Asset,,,Yes,,294,,,,,,,,,,
2944,DET.VAL.REPR.DEUD.LP (ASOC),DET.VAL.REPR.DEUD.LP (ASOC),Asset,,,Yes,,294,,,,,,,,,,
2945,DET.VAL.REPR.DEUD.LP (O.P.V),DET.VAL.REPR.DEUD.LP (O.P.V),Asset,,,Yes,,294,,,,,,,,,,
2953,DET.VALOR CDTOS LP (GRUPO),DET.VALOR CDTOS LP (GRUPO),Asset,,,Yes,,295,,,,,,,,,,
2954,DET.VALOR CDTOS LP (ASOC),DET.VALOR CDTOS LP (ASOC),Asset,,,Yes,,295,,,,,,,,,,
2955,DET.VALOR CDTOS LP (OPV),DET.VALOR CDTOS LP (OPV),Asset,,,Yes,,295,,,,,,,,,,
2960,DET.VALOR PART.P.NETO LP,DET.VALOR PART.P.NETO LP,Asset,,,Yes,,296,,,,,,,,,,
2970,DET.VALOR VAL.REPR.DEUDA LP,DET.VALOR VAL.REPR.DEUDA LP,Asset,,,Yes,,297,,,,,,,,,,
2980,DET.VALOR DE CREDITOS A LP,DET.VALOR DE CREDITOS A LP,Asset,,,Yes,,298,,,,,,,,,,
3000,MERCADERIAS,MERCADERIAS,Asset,,,Yes,,300,,,,,,,,,,
3010,MERCADERIAS,MERCADERIAS,Asset,,,Yes,,301,,,,,,,,,,
3100,MATERIAS PRIMAS,MATERIAS PRIMAS,Asset,,,Yes,,310,,,,,,,,,,
3110,MATERIAS PRIMAS A,MATERIAS PRIMAS A,Asset,,,Yes,,311,,,,,,,,,,
3200,ELEMENTOS Y CONJ.INCORPORAB.,ELEMENTOS Y CONJ.INCORPORAB.,Asset,,,Yes,,320,,,,,,,,,,
3210,COMBUSTIBLES,COMBUSTIBLES,Asset,,,Yes,,321,,,,,,,,,,
3220,REPUESTOS,REPUESTOS,Asset,,,Yes,,322,,,,,,,,,,
3250,MATERIALES DIVERSOS,MATERIALES DIVERSOS,Asset,,,Yes,,325,,,,,,,,,,
3260,EMBALAJES,EMBALAJES,Asset,,,Yes,,326,,,,,,,,,,
3270,ENVASES,ENVASES,Asset,,,Yes,,327,,,,,,,,,,
3280,MATERIAL DE OFICINA,MATERIAL DE OFICINA,Asset,,,Yes,,328,,,,,,,,,,
3290,OTROS APROVISIONAMIENTOS,OTROS APROVISIONAMIENTOS,Asset,,,Yes,,329,,,,,,,,,,
3300,PRODUCTOS EN CURSO A CP,PRODUCTOS EN CURSO A CP,Asset,,,Yes,,330,,,,,,,,,,
3301,PRODUCTOS EN CURSO A LP,PRODUCTOS EN CURSO A LP,Asset,,,Yes,,330,,,,,,,,,,
3310,PRODUCTOS EN CURSO B CP,PRODUCTOS EN CURSO B CP,Asset,,,Yes,,331,,,,,,,,,,
3311,PRODUCTOS EN CURSO B LP,PRODUCTOS EN CURSO B LP,Asset,,,Yes,,331,,,,,,,,,,
3400,PRODUCTOS SEMITERMINADOS A CP,PRODUCTOS SEMITERMINADOS A CP,Asset,,,Yes,,340,,,,,,,,,,
3401,PRODUCTOS SEMITERMINADOS A LP,PRODUCTOS SEMITERMINADOS A LP,Asset,,,Yes,,340,,,,,,,,,,
3410,PRODUCTOS SEMITERMINADOS B CP,PRODUCTOS SEMITERMINADOS B CP,Asset,,,Yes,,341,,,,,,,,,,
3411,PRODUCTOS SEMITERMINADOS B LP,PRODUCTOS SEMITERMINADOS B LP,Asset,,,Yes,,341,,,,,,,,,,
3500,PRODUCTOS TERMINADOS A CP,PRODUCTOS TERMINADOS A CP,Asset,,,Yes,,350,,,,,,,,,,
3501,PRODUCTOS TERMINADOS A LP,PRODUCTOS TERMINADOS A LP,Asset,,,Yes,,350,,,,,,,,,,
3510,PRODUCTOS TERMINADOS B CP,PRODUCTOS TERMINADOS B CP,Asset,,,Yes,,351,,,,,,,,,,
3511,PRODUCTOS TERMINADOS B LP,PRODUCTOS TERMINADOS B LP,Asset,,,Yes,,351,,,,,,,,,,
3600,SUBPRODUCTOS,SUBPRODUCTOS,Asset,,,Yes,,360,,,,,,,,,,
3610,SUBPRODUCTOS,SUBPRODUCTOS,Asset,,,Yes,,361,,,,,,,,,,
3650,RESIDUOS,RESIDUOS,Asset,,,Yes,,365,,,,,,,,,,
3660,RESIDUOS,RESIDUOS,Asset,,,Yes,,366,,,,,,,,,,
3680,MATERIALES RECUPERADOS,MATERIALES RECUPERADOS,Asset,,,Yes,,368,,,,,,,,,,
3690,MATERIALES RECUPERADOS,MATERIALES RECUPERADOS,Asset,,,Yes,,369,,,,,,,,,,
3900,DETERIORO VALOR MERCADERIAS,DETERIORO VALOR MERCADERIAS,Asset,,,Yes,,390,,,,,,,,,,
3910,DETERIORO VALOR MAT.PRIMAS,DETERIORO VALOR MAT.PRIMAS,Asset,,,Yes,,391,,,,,,,,,,
3920,DETERIORO VALOR OTROS APROV.,DETERIORO VALOR OTROS APROV.,Asset,,,Yes,,392,,,,,,,,,,
3930,DET.VALOR DE PROD.EN CURSO CP,DET.VALOR DE PROD.EN CURSO CP,Asset,,,Yes,,393,,,,,,,,,,
3931,DET.VALOR DE PROD.EN CURSO LP,DET.VALOR DE PROD.EN CURSO LP,Asset,,,Yes,,393,,,,,,,,,,
3940,DET.VALOR PROD.SEMIT.CP,DET.VALOR PROD.SEMIT.CP,Asset,,,Yes,,394,,,,,,,,,,
3941,DET.VALOR PROD.SEMIT.LP,DET.VALOR PROD.SEMIT.LP,Asset,,,Yes,,394,,,,,,,,,,
3950,DET.VALOR PROD.TERMINADOS CP,DET.VALOR PROD.TERMINADOS CP,Asset,,,Yes,,395,,,,,,,,,,
3951,DET.VALOR PROD.TERMINADOS LP,DET.VALOR PROD.TERMINADOS LP,Asset,,,Yes,,395,,,,,,,,,,
3960,DET.VALOR SUBP/RESID/MAT.REC,DET.VALOR SUBP/RESID/MAT.REC,Asset,,,Yes,,396,,,,,,,,,,
4000,PROVEEDORES EUROS (CORTO),PROVEEDORES EUROS (CORTO),Liability,,,Yes,,400,,,,,,,,,,
4002,PROVEEDORES EUROS (LARGO),PROVEEDORES EUROS (LARGO),Liability,,,Yes,,400,,,,,,,,,,
4003,PROVEED.MONEDA EXTR.(LARGO),PROVEED.MONEDA EXTR.(LARGO),Liability,,,Yes,,400,,,,,,,,,,
4004,PROVEED.MONEDA EXTR.(CORTO),PROVEED.MONEDA EXTR.(CORTO),Liability,,,Yes,,400,,,,,,,,,,
4009,PROV.FRAS.PDTES RECIB/FORMAL.,PROV.FRAS.PDTES RECIB/FORMAL.,Liability,,,Yes,,400,,,,,,,,,,
4010,PROV.EFECTOS A PAGAR(CORTO),PROV.EFECTOS A PAGAR(CORTO),Liability,,,Yes,,401,,,,,,,,,,
4011,PROV.EFECTOS A PAGAR(LARGO),PROV.EFECTOS A PAGAR(LARGO),Liability,,,Yes,,401,,,,,,,,,,
4030,PROV..EMPRESAS GRUPO (EURO),PROV..EMPRESAS GRUPO (EURO),Liability,,,Yes,,403,,,,,,,,,,
4031,PROV.EFECTOS PAGAR (GRUPO),PROV.EFECTOS PAGAR (GRUPO),Liability,,,Yes,,403,,,,,,,,,,
4032,PROV..LARGO GRUPO (EURO),PROV..LARGO GRUPO (EURO),Liability,,,Yes,,403,,,,,,,,,,
4033,PROV.MONEDA EXT.LP(GRUPO),PROV.MONEDA EXT.LP(GRUPO),Liability,,,Yes,,403,,,,,,,,,,
4034,PROV.MONEDA EXT.CP(GRUPO),PROV.MONEDA EXT.CP(GRUPO),Liability,,,Yes,,403,,,,,,,,,,
4036,ENV/EMB.DEVOLVER PROV.(GRUPO),ENV/EMB.DEVOLVER PROV.(GRUPO),Liability,,,Yes,,403,,,,,,,,,,
4039,PROV.FRAS.PDTES.RECIB.(GRUPO),PROV.FRAS.PDTES.RECIB.(GRUPO),Liability,,,Yes,,403,,,,,,,,,,
4040,PROV..EMPRESAS ASOC.CP(EURO),PROV..EMPRESAS ASOC.CP(EURO),Liability,,,Yes,,404,,,,,,,,,,
4041,PROV.EFECTOS A PAGAR (ASOC),PROV.EFECTOS A PAGAR (ASOC),Liability,,,Yes,,404,,,,,,,,,,
4042,PROVEED. LARGO (ASOC.),PROVEED. LARGO (ASOC.),Liability,,,Yes,,404,,,,,,,,,,
4043,PROVEED.M.EX.LARGO (ASOC.),PROVEED.M.EX.LARGO (ASOC.),Liability,,,Yes,,404,,,,,,,,,,
4044,PROV.MONEDA EXT. CP (ASOC),PROV.MONEDA EXT. CP (ASOC),Liability,,,Yes,,404,,,,,,,,,,
4046,ENV/EMB.DEVOLVER PROV.(ASOC),ENV/EMB.DEVOLVER PROV.(ASOC),Liability,,,Yes,,404,,,,,,,,,,
4049,PROV.FRA.PDT.RECIB/FORM(ASOC),PROV.FRA.PDT.RECIB/FORM(ASOC),Liability,,,Yes,,404,,,,,,,,,,
4050,PROV.OTRAS PARTES VINCULADAS,PROV.OTRAS PARTES VINCULADAS,Liability,,,Yes,,405,,,,,,,,,,
4051,PROV.EFECTOS PAGAR(OT.P.VINC),PROV.EFECTOS PAGAR(OT.P.VINC),Liability,,,Yes,,405,,,,,,,,,,
4052,PROV.LARGO (OT.PART.VINC),PROV.LARGO (OT.PART.VINC),Liability,,,Yes,,405,,,,,,,,,,
4053,PROV..M.EXT.LP (OT.PART.VINC),PROV..M.EXT.LP (OT.PART.VINC),Liability,,,Yes,,405,,,,,,,,,,
4054,PROV.M.EXT.CP(OT.PART.VINC),PROV.M.EXT.CP(OT.PART.VINC),Liability,,,Yes,,405,,,,,,,,,,
4056,ENV/EMB.DEV.PROV.(OT.P.VINC),ENV/EMB.DEV.PROV.(OT.P.VINC),Liability,,,Yes,,405,,,,,,,,,,
4059,PROV.FRA.PDT.RECIB(OT.P.VINC),PROV.FRA.PDT.RECIB(OT.P.VINC),Liability,,,Yes,,405,,,,,,,,,,
4060,ENV/EMB DEV.PROVEED.A CP,ENV/EMB DEV.PROVEED.A CP,Liability,,,Yes,,406,,,,,,,,,,
4061,ENV/EMB DEV.PROVEED.A LP,ENV/EMB DEV.PROVEED.A LP,Liability,,,Yes,,406,,,,,,,,,,
4070,ANTICIPOS PROVEEDORES,ANTICIPOS PROVEEDORES,Asset,,,Yes,,407,,,,,,,,,,
4071,ANTICIPOS PROVEEDORES (GRUPO),ANTICIPOS PROVEEDORES (GRUPO),Asset,,,Yes,,407,,,,,,,,,,
4072,ANTICIPOS PROVEEDORES (ASOC.),ANTICIPOS PROVEEDORES (ASOC.),Asset,,,Yes,,407,,,,,,,,,,
4073,ANTICIPOS PROVEEDORES (O.P.V),ANTICIPOS PROVEEDORES (O.P.V),Asset,,,Yes,,407,,,,,,,,,,
4074,ANTICIPOS PROV.LP,ANTICIPOS PROV.LP,Asset,,,Yes,,407,,,,,,,,,,
4075,ANTICIPOS PROV.LP(GRUPO),ANTICIPOS PROV.LP(GRUPO),Asset,,,Yes,,407,,,,,,,,,,
4076,ANTICIPOS PROV.LP(ASOC),ANTICIPOS PROV.LP(ASOC),Asset,,,Yes,,407,,,,,,,,,,
4077,ANTICIPOS PROV.LP(O.P.V),ANTICIPOS PROV.LP(O.P.V),Asset,,,Yes,,407,,,,,,,,,,
4100,ACREED.PREST.SERV.CP (EURO),ACREED.PREST.SERV.CP (EURO),Liability,,,Yes,,410,,,,,,,,,,
4102,ACREED.PREST.SERV.LP (EURO),ACREED.PREST.SERV.LP (EURO),Liability,,,Yes,,410,,,,,,,,,,
4103,ACREED.PREST.SERV.LP (M.EX),ACREED.PREST.SERV.LP (M.EX),Liability,,,Yes,,410,,,,,,,,,,
4104,ACREED.PREST.SERV.CP (M.EXT),ACREED.PREST.SERV.CP (M.EXT),Liability,,,Yes,,410,,,,,,,,,,
4109,ACR.PREST.SERV.FR.PDT.REC/FOR.,ACR.PREST.SERV.FR.PDT.REC/FOR.,Liability,,,Yes,,410,,,,,,,,,,
4110,ACREED..EFECTOS COM.PAGAR CP,ACREED..EFECTOS COM.PAGAR CP,Liability,,,Yes,,411,,,,,,,,,,
4111,ACREED.EFECTOS COM.PAGAR LP,ACREED.EFECTOS COM.PAGAR LP,Liability,,,Yes,,411,,,,,,,,,,
4120,ACREED.PREST.SERV.CP (GRUPO),ACREED.PREST.SERV.CP (GRUPO),Liability,,,Yes,,412,,,,,,,,,,
4122,ACREED.PREST.SERV.LP (GRUPO),ACREED.PREST.SERV.LP (GRUPO),Liability,,,Yes,,412,,,,,,,,,,
4130,ACREED.PREST.SERV.CP (ASOC),ACREED.PREST.SERV.CP (ASOC),Liability,,,Yes,,413,,,,,,,,,,
4132,ACREED.PREST.SERV.LP (ASOC),ACREED.PREST.SERV.LP (ASOC),Liability,,,Yes,,413,,,,,,,,,,
4140,ACREED.PREST.SERV.CP (O.P.V),ACREED.PREST.SERV.CP (O.P.V),Liability,,,Yes,,414,,,,,,,,,,
4142,ACREED.PREST.SERV.LP (O.P.V),ACREED.PREST.SERV.LP (O.P.V),Liability,,,Yes,,414,,,,,,,,,,
4190,ACREED..OPERAC.COMUN CP,ACREED..OPERAC.COMUN CP,Liability,,,Yes,,419,,,,,,,,,,
4192,ACREED..OPERAC.COMUN LP,ACREED..OPERAC.COMUN LP,Liability,,,Yes,,419,,,,,,,,,,
4300,CLIENTES (EUROS),CLIENTES (EUROS),Asset,,,Yes,,430,,,,,,,,,,
4302,CLIENTES EURO (LARGO),CLIENTES EURO (LARGO),Asset,,,Yes,,430,,,,,,,,,,
4303,CLIENTES MON.EXT. (LARGO),CLIENTES MON.EXT. (LARGO),Asset,,,Yes,,430,,,,,,,,,,
4304,CLIENTES (MONEDA EXTRANJERA),CLIENTES (MONEDA EXTRANJERA),Asset,,,Yes,,430,,,,,,,,,,
4309,CLIENTES.FRAS.PEND.FORMALIZAR,CLIENTES.FRAS.PEND.FORMALIZAR,Asset,,,Yes,,430,,,,,,,,,,
4310,EFECTOS EN CARTERA,EFECTOS EN CARTERA,Asset,,,Yes,,431,,,,,,,,,,
4311,EFECTOS DESCONTADOS,EFECTOS DESCONTADOS,Asset,,,Yes,,431,,,,,,,,,,
4312,EFECTOS EN GESTION DE COBROS,EFECTOS EN GESTION DE COBROS,Asset,,,Yes,,431,,,,,,,,,,
4315,EFECTOS COMERCIALES IMPAGADOS,EFECTOS COMERCIALES IMPAGADOS,Asset,,,Yes,,431,,,,,,,,,,
4316,EFECTOS EN CARTERA (LARGO),EFECTOS EN CARTERA (LARGO),Asset,,,Yes,,431,,,,,,,,,,
4317,EFECTOS DESCONTADOS (LARGO),EFECTOS DESCONTADOS (LARGO),Asset,,,Yes,,431,,,,,,,,,,
4318,EFECTOS GESTION COBROS(LARGO),EFECTOS GESTION COBROS(LARGO),Asset,,,Yes,,431,,,,,,,,,,
4319,EFECTOS COMER.IMPAG.(LARGO),EFECTOS COMER.IMPAG.(LARGO),Asset,,,Yes,,431,,,,,,,,,,
4320,CLIENTES OP. FACTORING,CLIENTES OP. FACTORING,Asset,,,Yes,,432,,,,,,,,,,
4321,CLIENTES OP. FACTORING (LP),CLIENTES OP. FACTORING (LP),Asset,,,Yes,,432,,,,,,,,,,
4330,CLIENTES (GRUPO)EUROS,CLIENTES (GRUPO)EUROS,Asset,,,Yes,,433,,,,,,,,,,
4331,EFECTOS COMER.COBRAR(GRUPO),EFECTOS COMER.COBRAR(GRUPO),Asset,,,Yes,,433,,,,,,,,,,
4332,CLIENT.OP.FACTORING(GRUPO),CLIENT.OP.FACTORING(GRUPO),Asset,,,Yes,,433,,,,,,,,,,
4334,CLIENTES MON.EXT.(GRUPO),CLIENTES MON.EXT.(GRUPO),Asset,,,Yes,,433,,,,,,,,,,
4336,CLIENT.EMP.GRUPO DUDOSO COBRO,CLIENT.EMP.GRUPO DUDOSO COBRO,Asset,,,Yes,,433,,,,,,,,,,
4337,ENV.DEV.CLIENTES (GRUPO),ENV.DEV.CLIENTES (GRUPO),Asset,,,Yes,,433,,,,,,,,,,
4339,CLIENT.FRA.PEND.FORM.(GRUPO),CLIENT.FRA.PEND.FORM.(GRUPO),Asset,,,Yes,,433,,,,,,,,,,
4340,CLIENTES EUROS(ASOC),CLIENTES EUROS(ASOC),Asset,,,Yes,,434,,,,,,,,,,
4341,EFECT.COMER.COBRAR (ASOC),EFECT.COMER.COBRAR (ASOC),Asset,,,Yes,,434,,,,,,,,,,
4342,CLIENT.OP.FACTORING (ASOC),CLIENT.OP.FACTORING (ASOC),Asset,,,Yes,,434,,,,,,,,,,
4344,CLIENTES MON.EXT.(ASOC),CLIENTES MON.EXT.(ASOC),Asset,,,Yes,,434,,,,,,,,,,
4346,CLIENTES DUDOSO COBRO(ASOC),CLIENTES DUDOSO COBRO(ASOC),Asset,,,Yes,,434,,,,,,,,,,
4347,ENV.DEV.CLIENTES(ASOC),ENV.DEV.CLIENTES(ASOC),Asset,,,Yes,,434,,,,,,,,,,
4349,CLIENT.FRA.PEND.FORM.(ASOC),CLIENT.FRA.PEND.FORM.(ASOC),Asset,,,Yes,,434,,,,,,,,,,
4350,CLIENTES (OTRAS PART.VINC),CLIENTES (OTRAS PART.VINC),Asset,,,Yes,,435,,,,,,,,,,
4351,EFECT.COM.COBRAR(OT.P.VINC),EFECT.COM.COBRAR(OT.P.VINC),Asset,,,Yes,,435,,,,,,,,,,
4352,CLIENT.OP.FACTORING (O.P.V),CLIENT.OP.FACTORING (O.P.V),Asset,,,Yes,,435,,,,,,,,,,
4354,CLIENTES MON.EXT.(O.P.V),CLIENTES MON.EXT.(O.P.V),Asset,,,Yes,,435,,,,,,,,,,
4356,CLIENTES DUDOSO COBRO(O.P.V),CLIENTES DUDOSO COBRO(O.P.V),Asset,,,Yes,,435,,,,,,,,,,
4357,ENV.DEV.CLIENTES (O.P.V),ENV.DEV.CLIENTES (O.P.V),Asset,,,Yes,,435,,,,,,,,,,
4359,CLIENT.FRA.PEND.FORM.(O.P.V),CLIENT.FRA.PEND.FORM.(O.P.V),Asset,,,Yes,,435,,,,,,,,,,
4360,CLIENTES DE DUDOSO COBRO,CLIENTES DE DUDOSO COBRO,Asset,,,Yes,,436,,,,,,,,,,
4370,ENV/EMB DEV.CLIENT.(CORTO),ENV/EMB DEV.CLIENT.(CORTO),Asset,,,Yes,,437,,,,,,,,,,
4371,ENV/EMB DEV.CLIENT.(LARGO),ENV/EMB DEV.CLIENT.(LARGO),Asset,,,Yes,,437,,,,,,,,,,
4380,ANTICIP.CLIENTES CORTO,ANTICIP.CLIENTES CORTO,Liability,,,Yes,,438,,,,,,,,,,
4381,ANTICIP.CLIENTES CORTO(GRUPO),ANTICIP.CLIENTES CORTO(GRUPO),Liability,,,Yes,,438,,,,,,,,,,
4382,ANTICIP.CLIENTES CORTO(ASOC.),ANTICIP.CLIENTES CORTO(ASOC.),Liability,,,Yes,,438,,,,,,,,,,
4383,ANTICIP.CLIENTES CORTO(O.P.V),ANTICIP.CLIENTES CORTO(O.P.V),Liability,,,Yes,,438,,,,,,,,,,
4400,DEUDORES EUROS,DEUDORES EUROS,Asset,,,Yes,,440,,,,,,,,,,
4401,DEUDORES EUROS (LARGO),DEUDORES EUROS (LARGO),Asset,,,Yes,,440,,,,,,,,,,
4404,DEUDORES (MONEDA EXTRANJERA),DEUDORES (MONEDA EXTRANJERA),Asset,,,Yes,,440,,,,,,,,,,
4405,DEUDORES (MON.EXT.) (LARGO),DEUDORES (MON.EXT.) (LARGO),Asset,,,Yes,,440,,,,,,,,,,
4409,DEUDORES FRAS.PEND.FORMALIZAR,DEUDORES FRAS.PEND.FORMALIZAR,Asset,,,Yes,,440,,,,,,,,,,
4410,DEUDORES EFECTOS EN CARTERA,DEUDORES EFECTOS EN CARTERA,Asset,,,Yes,,441,,,,,,,,,,
4411,DEUDORES EFECTOS DESCONTADOS,DEUDORES EFECTOS DESCONTADOS,Asset,,,Yes,,441,,,,,,,,,,
4412,DEUDORES EFECT.GESTION COBRO,DEUDORES EFECT.GESTION COBRO,Asset,,,Yes,,441,,,,,,,,,,
4415,DEUDORES EFECT.IMPAGADOS,DEUDORES EFECT.IMPAGADOS,Asset,,,Yes,,441,,,,,,,,,,
4416,DEUDORES EFECT.CARTERA(LARGO),DEUDORES EFECT.CARTERA(LARGO),Asset,,,Yes,,441,,,,,,,,,,
4417,DEUDORES EFECT.DESCONT(LARGO),DEUDORES EFECT.DESCONT(LARGO),Asset,,,Yes,,441,,,,,,,,,,
4418,DEUD.EFECT.GEST.COBRO(LARGO),DEUD.EFECT.GEST.COBRO(LARGO),Asset,,,Yes,,441,,,,,,,,,,
4419,DEUD.EFECT.IMPAGADOS(LARGO),DEUD.EFECT.IMPAGADOS(LARGO),Asset,,,Yes,,441,,,,,,,,,,
4420,DEUDORES EUROS (GRUPO),DEUDORES EUROS (GRUPO),Asset,,,Yes,,442,,,,,,,,,,
4421,DEUDORES EF.COM.COBRAR(GRUPO),DEUDORES EF.COM.COBRAR(GRUPO),Asset,,,Yes,,442,,,,,,,,,,
4425,DEUDORES DUDOSO COBRO (GRUPO),DEUDORES DUDOSO COBRO (GRUPO),Asset,,,Yes,,442,,,,,,,,,,
4429,DEUDORES OPERAC.COMUN (GRUPO),DEUDORES OPERAC.COMUN (GRUPO),Asset,,,Yes,,442,,,,,,,,,,
4430,DEUDORES EUROS (ASOC),DEUDORES EUROS (ASOC),Asset,,,Yes,,443,,,,,,,,,,
4431,DEUDORES EF.COM.COBRAR (ASOC),DEUDORES EF.COM.COBRAR (ASOC),Asset,,,Yes,,443,,,,,,,,,,
4435,DEUDORES DUDOSO COBRO (ASOC),DEUDORES DUDOSO COBRO (ASOC),Asset,,,Yes,,443,,,,,,,,,,
4439,DEUDORES OPERAC.COMUN (ASOC),DEUDORES OPERAC.COMUN (ASOC),Asset,,,Yes,,443,,,,,,,,,,
4440,DEUDORES EUROS(O.P.VINC.),DEUDORES EUROS(O.P.VINC.),Asset,,,Yes,,444,,,,,,,,,,
4441,DEUDORES EF.COM.COBRAR(O.P.V),DEUDORES EF.COM.COBRAR(O.P.V),Asset,,,Yes,,444,,,,,,,,,,
4445,DEUDORES DUDOSO COBRO (O.P.V),DEUDORES DUDOSO COBRO (O.P.V),Asset,,,Yes,,444,,,,,,,,,,
4449,DEUDORES OPERAC.COMUN (O.P.V),DEUDORES OPERAC.COMUN (O.P.V),Asset,,,Yes,,444,,,,,,,,,,
4460,DEUDORES DE DUDOSO COBRO,DEUDORES DE DUDOSO COBRO,Asset,,,Yes,,446,,,,,,,,,,
4490,DEUDORES OPERAC.COMUN (CORTO),DEUDORES OPERAC.COMUN (CORTO),Asset,,,Yes,,449,,,,,,,,,,
4491,DEUDORES OPERAC.COMUN (LARGO),DEUDORES OPERAC.COMUN (LARGO),Asset,,,Yes,,449,,,,,,,,,,
4600,ANTICIPOS DE REMUNERACION,ANTICIPOS DE REMUNERACION,Asset,,,Yes,,460,,,,,,,,,,
4650,REMUNERACIONES PDTES PAGO,REMUNERACIONES PDTES PAGO,Liability,,,Yes,,465,,,,,,,,,,
4660,REM.APORTAC.DEF.PDTES DE PAGO,REM.APORTAC.DEF.PDTES DE PAGO,Liability,,,Yes,,466,,,,,,,,,,
4700,HAC.PUBLICA. DEUDOR IVA (C),HAC.PUBLICA. DEUDOR IVA (C),Asset,,,Yes,,470,,,,,,,,,,
4701,HAC.PUBLICA. DEUDOR IVA (L),HAC.PUBLICA. DEUDOR IVA (L),Asset,,,Yes,,470,,,,,,,,,,
4702,H.P.D.SUBV.CONCEDIDAS (L),H.P.D.SUBV.CONCEDIDAS (L),Asset,,,Yes,,470,,,,,,,,,,
4703,DEVOLUCION IMPUESTOS (L),DEVOLUCION IMPUESTOS (L),Asset,,,Yes,,470,,,,,,,,,,
4707,HACIENDA PUBLICA. DEUDOR IGIC,HACIENDA PUBLICA. DEUDOR IGIC,Asset,,,Yes,,470,,,,,,,,,,
4708,H.P.D.SUBV.CONCEDIDAS (C),H.P.D.SUBV.CONCEDIDAS (C),Asset,,,Yes,,470,,,,,,,,,,
4709,DEVOLUCION DE IMPUESTOS (C),DEVOLUCION DE IMPUESTOS (C),Asset,,,Yes,,470,,,,,,,,,,
4710,SEGURIDAD SOCIAL.DEUDORES(C),SEGURIDAD SOCIAL.DEUDORES(C),Asset,,,Yes,,471,,,,,,,,,,
4711,SEGURIDAD SOCIAL.DEUDORES(L),SEGURIDAD SOCIAL.DEUDORES(L),Asset,,,Yes,,471,,,,,,,,,,
4720,H.P.IVA SOPORTADO,H.P.IVA SOPORTADO,Asset,,,Yes,,472,,,,,,,,,,
4727,H.P. IGIC SOPORTADO,H.P. IGIC SOPORTADO,Asset,,,Yes,,472,,,,,,,,,,
4730,RETENCIONES Y PAGOS A CTA,RETENCIONES Y PAGOS A CTA,Asset,,,Yes,,473,,,,,,,,,,
4740,DIF.TEMPORARIAS DEDUCIBLES,DIF.TEMPORARIAS DEDUCIBLES,Asset,,,Yes,,474,,,,,,,,,,
4742,DCHOS.DED/BONIF.PTES.APLIC,DCHOS.DED/BONIF.PTES.APLIC,Asset,,,Yes,,474,,,,,,,,,,
4745,CRDTO PERDIDAS A COMP.,CRDTO PERDIDAS A COMP.,Asset,,,Yes,,474,,,,,,,,,,
4750,HAC.PUBL.ACREEDOR IVA (C),HAC.PUBL.ACREEDOR IVA (C),Liability,,,Yes,,475,,,,,,,,,,
4751,H.P.ACREEDOR RETENCIONES(C),H.P.ACREEDOR RETENCIONES(C),Liability,,,Yes,,475,,,,,,,,,,
4752,H.P.ACREEDOR I.SOCIEDADES(C),H.P.ACREEDOR I.SOCIEDADES(C),Liability,,,Yes,,475,,,,,,,,,,
